name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
On Your Way Home,State of the Heart,Patrick Droney,4sFhD0PjpNgV8M8yIzt7C2,,,165523,0.45,0.539,0.333,0.00E+00,0.0843,0.582,-9.522,0.0459,94.436,7,4,Calm
If You Love Her - feat. Meghan Trainor,If You Love Her (feat. Meghan Trainor),Forest Blakk,3yuIvz5stb9v9cljhZ5Zas,,,215832,0.335,0.36,0.47,0.00E+00,0.114,0.186,-7.158,0.0343,155.912,1,3,Calm
I Should Probably Go To Bed,Good Things,Dan + Shay,4NbVF82bdlZgZkiWOTAKdS,,,170067,0.713,0.641,0.247,0,0.139,0.305,-8.817,0.0344,131.897,1,4,Calm
Skyt Me I Hjertet,Skyt Me I Hjertet,Jesper Jenset,63XFrfXL6Dg7MjsAjgl0xh,,,203399,0.722,0.558,0.458,0,0.121,0.595,-5.845,0.0343,88.983,10,4,Calm
Happy For You (feat. Vũ.),Happy For You (feat. Vũ.),Lukas Graham,2XjbfQQZlPwOMTmJR2RLfC,,,226403,0.647,0.54,0.624,0,0.185,0.176,-4.169,0.0397,136.036,10,4,Calm
Simple,Simple,Sam Fischer,7hVK6T6lsXFeTIxTlHGhGU,,,182180,0.61,0.407,0.456,0,0.138,0.576,-8.659,0.0968,72.089,3,4,Calm
Young & Sad,THE END OF EVERYTHING,Noah Cyrus,0gySkOOewOdZtHG8stPEB8,,,190183,0.618,0.592,0.428,0.00E+00,0.192,0.359,-8.5,0.038,142.021,7,4,Calm
Walls - Naked Edition,Walls (Naked Edition),Ruben,7M0G5wRuoISYiCDytDxEFz,,,179098,0.537,0.733,0.461,0,0.205,0.461,-7.594,0.0511,90.357,7,4,Calm
I Know Better,Still Alive (Deluxe Edition),Maximillian,0jFJFli5qiHEFtEYPDWSip,,,178069,0.741,0.772,0.417,0.00E+00,0.101,0.377,-8.732,0.0325,113.96,8,4,Calm
Lose You Too,Lose You Too,SHY Martin,5JkUNbYSn06ghlmu0NRUMf,,,186463,0.445,0.153,0.357,0,0.356,0.159,-9.163,0.0445,147.062,7,4,Calm
Is It Just Me? (feat. JP Cooper),Is It Just Me?,Emily Burns,754zNJgoWQaGETFzSYVlmC,,,203300,0.478,0.688,0.339,0,0.104,0.288,-7.355,0.0544,145.441,4,4,Calm
I Do,All Love Everything (Deluxe),Aloe Blacc,5MarIZklriKZNvAzfKdMHj,,,190707,0.515,0.798,0.438,0.00E+00,0.258,0.436,-5.467,0.0328,72.878,0,4,Calm
House With No Mirrors,House With No Mirrors,Sasha Alex Sloan,55vsJO4tLZQ37qzD5QUOmh,,,227613,0.72,0.832,0.408,2.61E-06,0.0992,0.341,-11.725,0.0498,121.972,2,4,Calm
Best I'll Ever Sing,Best I'll Ever Sing,Maisie Peters,37a0RMpwwQjgIkLoEePwXa,,,199142,0.34,0.531,0.288,0,0.134,0.322,-7.937,0.0321,89.033,4,4,Calm
Leave It Beautiful,Leave It Beautiful,Astrid S,466pvheuy2AO0SFEFgTpZ9,,,184958,0.693,7.15E-01,0.567,0.00E+00,0.478,0.394,-8.444,0.215,121.935,11,4,Calm
Kissin' In The Cold,Kissin' In The Cold,JP Saxe,2nZq5WQOW4FEPxCVTdNGfB,,,224084,0.528,0.777,0.343,0.00E+00,0.162,0.342,-7.62,0.036,64.879,0,4,Calm
All This Love,Raised Under Grey Skies (Deluxe),JP Cooper,10unIjOu5Jurco3SDbV4HZ,,,193598,0.621,1.68E-01,0.524,0.00E+00,0.0925,0.434,-7.056,0.0248,97.456,5,3,Calm
You Are The Reason,Only Human (Deluxe),Calum Scott,69vToJ9BMbbLlFZo7k7A7B,,,204326,0.329,0.918,0.235,0.00E+00,0.137,0.22,-7.699,0.0303,171.006,10,3,Calm
in case you miss me,in case you miss me,John K,0NAvBMEfXk1ke0RoR4NPni,,,170005,0.674,0.147,0.544,0.00E+00,0.0734,0.463,-7.113,0.0409,149.125,3,4,Calm
Used to Be,Used to Be,AJ Mitchell,7FjKU2mfpEpvKIbx8naZRk,,,174793,0.471,7.23E-01,0.474,0.00E+00,0.0964,0.262,-6.355,0.0382,120.656,5,4,Calm
Gucci Knife (feat. MASN),Gucci Knife (feat. MASN),Carlie Hanson,1nhtP8put1KkwqdrZcA1Gi,,,151642,0.68,0.055,0.623,0.00E+00,0.596,0.379,-6.657,0.0464,145.002,11,4,Calm
Shh...Don't Say It,THE S(EX) TAPES,FLETCHER,170yBuCB3FvhMG2DMSQ4IG,,,168933,0.789,0.209,0.501,0,0.191,0.694,-5.433,0.0746,108.989,5,4,Calm
Can I Be Him,Back from the Edge,James Arthur,0VhgEqMTNZwYL1ARDLLNCX,,,246880,0.696,3.08E-01,0.543,0,0.0939,0.479,-6.164,0.0489,107.969,11,4,Calm
Days Like This,Without Fear (The Complete Edition),Dermot Kennedy,0W6vig3DpP1D3R4w72hdWp,,,149803,0.642,0.909,0.214,0,0.122,0.38,-9.25,0.198,80.444,3,4,Calm
So Sick (feat. blackbear),lil kiiwi,Kiiara,2LAqcZuU9nbOZrC7Nzdvtu,,,150943,0.751,1.49E-01,0.544,1.56E-05,0.513,0.392,-7.073,0.0581,118.048,7,4,Calm
7UP,7UP,Boy In Space,4cB00WOFuQFLoDpnydcx8c,,,203555,0.616,0.0167,0.469,0,0.111,0.233,-7.38,0.027,135.035,0,4,Calm
Worst of You,Worst of You,Maisie Peters,54iSfkh69fxhnSNrgvTEBp,,,197369,0.741,5.58E-01,0.466,0,0.0583,0.351,-7.258,0.0357,102.058,4,4,Calm
"I miss you, I’m sorry",minor,Gracie Abrams,4nyF5lmSziBAt7ESAUjpbx,,,167538,0.445,0.731,0.455,1.47E-06,0.124,0.151,-6.405,0.0575,109.885,7,5,Calm
i don't miss u,songs from 3am,carobae,5WgdCkTa3l9GznpPQaQH6W,,,178896,0.407,0.855,0.292,0,0.117,0.0772,-7.621,0.0773,78.412,3,4,Calm
jordan,in defense of my own happiness,Joy Oladokun,2BGyfq5k9xGO9019bUsYFk,,,241200,0.347,0.545,0.315,3.53E-06,0.0966,0.171,-9.792,0.0337,96.079,4,4,Calm
Butterflies,Butterflies,MAX,7eQHxigpuDJjCG50JyzU8v,,,191250,0.7,0.385,0.613,0,0.0887,0.42,-4.041,0.0408,88.084,11,4,Calm
Spis din syvende sans,"Kors på halsen, ti kniver i hjertet, mor og far i døden",Karpe,2wklUkI6nr4uurf5w0AyPz,,,201347,0.652,0.762,0.516,1.71E-05,0.197,0.235,-6.133,0.075,150.11,11,4,Calm
Hits Different,Leave It Beautiful,Astrid S,0vSzHgep92QhPeDHrUZand,,,158366,0.704,3.60E-01,0.419,0.00166,0.102,0.413,-10.425,0.309,103.699,1,4,Calm
Lean (OurVinyl Sessions),Sam Fischer | OurVinyl Sessions,Sam Fischer,7udiwkrkNAbFtzqev8EYDI,,,232000,0.378,0.883,0.189,0.00E+00,0.156,0.255,-12.604,0.0511,83.767,9,4,Calm
I Don't Want You Back,Hopeful,AJ Mitchell,38nKfxyRrjYfx0ODX1W5yB,,,224144,0.613,0.591,0.347,0,0.0959,0.25,-6.486,0.034,109.764,5,4,Calm
Die From A Broken Heart,The Way It Feels,Maddie & Tae,3DA4SE262k6rdEtlHteNyq,,,188320,0.596,3.73E-01,0.522,0.00E+00,0.291,0.443,-6.633,0.0358,76.042,9,4,Calm
Bitter,Bitter,FLETCHER,5Z0AM9HW78XIyZqF2BPasr,,,194750,0.724,0.393,0.594,1.16E-03,0.0889,0.413,-7.126,0.102,136.002,6,4,Calm
Closer,Closer,Astrid S,0beQOSJ5aUkQky6XYlC8m6,,,183041,0.531,3.94E-01,0.472,0,0.139,0.445,-7.347,0.059,127.48,0,5,Calm
Her,Her,Anne-Marie,2GjQ5KNXggsIRpx5ZUj2zX,,,177569,0.567,0.87,0.395,0.00E+00,0.106,0.329,-5.568,0.0303,119.849,10,4,Calm
"Don't Give Up On Me - (From ""Five Feet Apart"")",Naive,Andy Grammer,5A3fPy30SN2wuzrahpcxvV,,,196188,0.641,0.0875,0.537,9.05E-06,0.115,0.0681,-5.452,0.0282,112.864,0,4,Calm
Feelings,Feelings,SHY Martin,0FhFZbyZbkUh5uyAKesmDL,,,169768,0.734,0.0966,0.615,3.15E-06,0.122,0.289,-8.519,0.0562,115.993,7,4,Calm
Mother,Hex - EP,Ina Wroldsen,3nHtJ3HtqFomq1Qz7OzRR0,,,196196,0.61,3.11E-01,0.524,0.00E+00,0.0787,0.323,-7.4,0.0423,76.993,2,1,Calm
More Hearts Than Mine,Lady Like,Ingrid Andress,60RFlt48hm0l4Fu0JoccOl,,,214787,0.375,0.109,0.428,0,0.105,0.361,-7.387,0.029,78.516,0,4,Calm
I Quit Drinking,I Quit Drinking,Kelsea Ballerini,6OcCk1dbAb7XNHsC098oEM,,,171200,0.607,3.94E-01,0.418,0.00E+00,0.182,0.386,-6.997,0.0363,95.002,1,4,Calm
If the World Was Ending - feat. Julia Michaels,If the World Was Ending (feat. Julia Michaels),JP Saxe,2kJwzbxV2ppxnQoYw4GLBZ,,,208687,0.464,8.66E-01,0.473,0,0.109,0.604,-10.086,0.129,75.801,1,4,Calm
All I Want,In A Perfect World (Expanded Edition),Kodaline,0NlGoUyOJSuSHmngoibVAs,,,305747,0.188,0.174,0.411,0.153,0.0843,0.159,-9.733,0.0484,187.376,0,3,Calm
Love Come Around,Love Come Around,Elina,01nz6KVz1nOwV1brJeKpX3,,,187000,0.436,8.45E-01,0.311,0,0.114,0.403,-9.296,0.0295,155.627,2,4,Calm
Off,Off,Jake Scott,73Ilcr8ZN7m1tKXRGax5JO,,,165604,0.659,4.24E-01,0.29,0,0.118,0.932,-11.773,0.187,187.679,6,4,Calm
Hvis Bare Jeg Kunne Se,Hvis Bare Jeg Kunne Se,Micky Skeel,4sM2F5uyHwyYJK1F8OMfgm,,,207078,0.446,0.81,0.365,0,0.131,0.366,-8.392,0.0327,163.245,8,4,Calm
No Right To Love You,Things I Chose To Remember,Rhys Lewis,3ZY1udNwoRQ8yHm3sYY4XN,,,238040,0.592,6.65E-01,0.469,0.000154,0.106,0.345,-8.154,0.0396,158.954,1,4,Calm
Kissing Other People - Acoustic,Kissing Other People (Acoustic),Lennon Stella,0Otf6MBWU5vOqlwCl1ZIZY,,,192375,0.669,0.945,0.193,7.36E-06,0.107,0.435,-9.553,0.06,79.721,0,3,Calm
Butterflies - Acoustic,Butterflies,James TW,2vSt0clvLSu69MEBe9NGpB,,,200547,0.674,0.786,0.406,0,0.101,0.429,-9.327,0.0534,99.701,0,4,Calm
Dear God,Dear God,Ruben,0SDZIfwGmTWP5emacUo6zG,,,179878,0.486,0.00605,0.491,0,0.0636,0.414,-7.598,0.0442,177.082,1,3,Calm
Bad,Under the Surface,Christopher,66zdGutAO6NJmMjH8ejBIq,,,191570,0.759,0.076,0.59,0,0.329,0.713,-7.291,0.12,95.866,1,4,Calm
Thursday - Acoustic,Thursday (Acoustic),Jess Glynne,4pjNeKzXQcoYRdNDgdrwyR,,,241613,0.542,0.795,0.316,0.00E+00,0.096,0.58,-6.189,0.0374,140.869,2,5,Calm
Lonely Ones,Grown-ish,LOVA,6Mb0OgMvbb7FYQejZ6rusz,,,187552,0.643,0.613,0.407,0,0.147,0.47,-7.36,0.102,143.786,2,4,Calm
If I'm Being Honest,If I'm Being Honest,Anna Clendening,5NPKyAwlIlsxYzlAU1xFK5,,,156681,0.584,0.656,0.588,0.00E+00,0.153,0.419,-6.864,0.162,147.21,11,3,Calm
Safe Inside - Acoustic,Safe Inside (Acoustic),James Arthur,0kIpJQHzu46yw6q3V78Ypt,,,232592,0.392,0.855,0.303,4.05E-05,0.112,0.3,-9.01,0.0306,109.758,8,4,Calm
Down Low,Down Low,Astrid S,7vmiKOPQuGBV3Q2z3He5e9,,,202007,0.554,0.799,0.35,1.39E-06,0.317,0.333,-5.378,0.0287,86.331,6,4,Calm
Hold Me Like You Used To,Golden Wings,Zoe Wees,7eEcVUDXfIaZPq4kwhPIML,,,186975,0.573,0.528,0.59,0,0.192,0.177,-6.308,0.0352,124.958,0,3,Calm
Paper Planes,Paper Planes,Elina,5GzgEC6pWf1USZsCtkG8yC,,,199981,0.529,0.543,0.351,0.00E+00,0.0851,0.529,-12.484,0.0368,147.815,1,4,Calm
Easy,Easy,Lillian Hepler,3nyRWdbLh6gSembPFBvovm,,,191182,0.739,0.632,0.471,0.00E+00,0.346,0.594,-7.554,0.0751,106.989,0,4,Calm
If you're meant to come back,If you're meant to come back,Justin Jesso,6Nukn6WojFMJN6506TZoGV,,,179354,0.559,0.624,0.335,0,0.0717,0.162,-10.262,0.0364,93.017,4,4,Calm
Thinking 'Bout Love - Acoustic,Songs to Break Up To (Acoustic),Wild Rivers,4yyeg9OaigF29LN2SBQz7h,,,184065,0.684,0.846,0.173,0,0.162,0.358,-13.535,0.0595,137.742,5,4,Calm
Better Break My Heart - Acoustic version,Better Break My Heart,Rhys,1p3q7kGwvV6MEG4ADZi08y,,,175013,0.724,8.44E-01,0.368,0,0.142,0.456,-7.17,0.0426,132.81,7,3,Calm
cowboy in LA,mama's boy (deluxe),LANY,3WZKQtvz5nUiOBBYcQzftX,,,213800,0.624,4.07E-01,0.393,0,0.118,0.728,-8.916,0.0333,177.963,8,4,Calm
This City,This City,Sam Fischer,3H3r2nKWa3Yk5gt8xgmsEt,,,194853,0.605,0.733,0.377,0.00E+00,0.0808,0.519,-6.213,0.0443,73.877,11,4,Calm
Ikke som de andre,Ingenting i paradis,Sondre Justad,1LdBn0RT6kL9IvJXteFPFG,,,214960,0.526,0.273,0.477,1.72E-05,0.338,0.26,-8.42,0.0273,87.959,10,3,Calm
Biblical - Instrumental,Biblical (Instrumental),Calum Scott,0eDmxe5AFpRZ5XDFjSDNZi,,,229673,0.403,0.909,0.23,0.962,0.124,0.103,-10.644,0.0378,135.898,4,4,Calm
Leave a Light On,Leave a Light On,Tom Walker,6lOWoTqVnAWXchddtTH31W,,,185863,0.586,0.0153,0.624,1.78E-06,0.133,0.267,-5.946,0.113,68.976,5,4,Calm
Hurts So Good,Astrid S,Astrid S,46ydq5g3k17iLJs3qMDvO6,,,208729,0.675,0.084,0.609,0.00E+00,0.0957,0.378,-5.027,0.0586,120.039,7,4,Calm
Issues,Nervous System,Julia Michaels,0xG0SHshCStMEyNbNC5d4k,,,176320,0.67,0.39,0.415,0.00E+00,0.0617,0.445,-6.855,0.0786,114.212,8,4,Calm
LET'S STAY HOME TONIGHT,H A R D L O V E,NEEDTOBREATHE,1kiylxwnw8R8rJoCDtubWM,,,200120,0.548,0.668,0.367,0.00E+00,0.144,0.416,-9.271,0.0309,147.946,5,4,Calm
Det Burde Være Mig,Det Burde Være Mig,Mads Christian,4elMHnqcj7HiW1EBr1qzRk,,,171833,0.746,0.542,0.467,0,0.161,0.81,-7.981,0.0495,89.921,11,4,Calm
Passport Home,Raised Under Grey Skies (Deluxe),JP Cooper,4DzgGTs7eaS6DHHOp1xcyj,,,180167,0.608,0.0234,0.474,0,0.143,0.243,-6.591,0.0272,86.06,5,4,Calm
The One,THE S(EX) TAPES,FLETCHER,2MaWDFu5l9SKXNDd6qCIx6,,,181773,0.759,0.212,0.626,1.13E-05,0.0922,0.651,-6.289,0.217,115.007,5,4,Calm
July,THE END OF EVERYTHING,Noah Cyrus,6J2LdBN97cDWn0MLxYh9HB,,,156106,0.708,0.868,0.186,0,0.0779,0.322,-8.953,0.042,72.541,9,4,Calm
When You're Home,When You're Home,Tyler Shaw,4wcOBczfEVjEgsF4aKhKbL,,,208275,0.676,0.699,0.34,1.48E-06,0.114,0.138,-7.5,0.0303,94.485,9,3,Calm
You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding,20R40KmQrdwKES14PmDwaf,,,199145,0.701,0.732,0.39,0.00E+00,0.107,0.457,-8.235,0.032,119.956,5,4,Calm
Holy Water,Holy Water,JP Cooper,7EWkSYW9mvDlOZaqdbGyMF,,,219438,0.58,1.84E-01,0.616,0,0.148,0.528,-5.928,0.0406,78.943,9,4,Calm
Always,Only Ticket Home,Gavin James,79wvYwZgtfcnCwBI8XIep8,,,247843,0.572,5.01E-02,0.465,0,0.0969,0.184,-6.544,0.0293,123.052,4,4,Calm
Deep End,Beautiful Lies,Birdy,555CH6CnGJRqO37pqA30vW,,,208840,0.455,0.761,0.296,0,0.0783,0.31,-8.513,0.0399,171.744,2,4,Calm
Maybe Don't (feat. JP Saxe),Maybe Don't (feat. JP Saxe),Maisie Peters,7ksYNhalX8IWKku513n8QG,,,174600,0.713,0.386,0.639,0.00E+00,0.177,0.625,-5.231,0.243,166.732,7,4,Calm
Jeg glemmer deg aldri - fra Rådebank,Jeg glemmer deg aldri (fra Rådebank),Emma Steinbakken,1oKXshzJtz3zDA6dJY8VlZ,,,212459,0.515,8.06E-01,0.0862,3.63E-03,0.0626,0.0907,-14.335,0.0367,121.799,7,4,Calm
Happy For You (feat. Hanin Dhiya),Happy For You (feat. Hanin Dhiya),Lukas Graham,0DHsPhd4A25MtNEjqElFa8,,,226403,0.594,0.582,0.587,0,0.202,0.243,-3.235,0.037,136.144,10,4,Calm
What Other People Say - Stripped Version,What Other People Say (Stripped Version),Sam Fischer,38AzxWkkEWzCE56drrO6Vx,,,208674,0.692,0.304,0.335,0,0.342,0.25,-8.179,0.0356,126.912,7,4,Calm
Black Converse,Grown-ish,LOVA,7axPmEf1nwosqBDVoMugvD,,,186733,0.775,0.724,0.41,2.62E-05,0.114,0.298,-7.481,0.0464,117.165,3,4,Calm
Control,Control,Zoe Wees,50Td3qilgs8BLtv8mHyT1t,,,230880,0.599,0.643,0.465,1.57E-06,0.149,0.0678,-4.95,0.0314,113.82,4,4,Calm
HALF HEARTED,"Dear Paranoia, Sincerely, Me",We Three,0zMQ5Svj3WbB8RsBn9hFKq,,,232864,0.489,0.463,0.304,0.00E+00,0.0695,0.166,-10.002,0.0339,129.871,4,4,Calm
Love Someone,3 (The Purple Album),Lukas Graham,0OCRwXbQRdOZ1OtB4Imsp1,,,205440,0.538,0.172,0.409,0,0.11,0.265,-6.581,0.0505,171.838,9,4,Calm
Cameras On,Cameras On,AJ Mitchell,4bAdZEc533RFNAmaOXOI19,,,173196,0.648,0.328,0.323,0.00E+00,0.129,0.304,-9.13,0.0316,106.056,8,4,Calm
The Scientist,The Scientist,SKAAR,4HYRVbQHz6xOtpoh9RB3pt,,,275732,0.415,8.86E-01,0.174,5.96E-03,0.0865,0.119,-15.213,0.0349,74.154,10,4,Calm
Please Keep Loving Me,Please Keep Loving Me,James TW,78zUxUPvONPgMIt46q5be6,,,195920,0.537,0.117,0.469,1.78E-06,0.106,0.294,-8.486,0.0764,175.971,5,4,Calm
Bad Vibrations,Bad Vibrations,Jesper Jenset,6zTKuNMEU3svBn65L6u88M,,,199380,0.768,0.00417,0.589,2.67E-05,0.136,0.757,-8.991,0.0403,97.979,8,4,Calm
Love Is Weird,Love Is Weird,Julia Michaels,4vBeG83Hjl2qJspRcTLiz5,,,150394,0.536,6.19E-01,0.404,0.00E+00,0.127,0.325,-9.315,0.0367,112.807,11,4,Calm
Corduroy Dreams,Bcos U Will Never B Free,Rex Orange County,02tvc9CFnTyHuSRlGeNv9w,,,206975,0.608,0.653,0.305,0,0.103,0.222,-14.037,0.053,113.818,4,4,Sad
I’ll Still Have Me,Mood Swing,Cyn,1C3PEP1tk73s00Stxb2N8Z,,,219268,0.604,0.915,0.277,1.82E-05,0.113,0.22,-8.249,0.0286,82.922,2,4,Sad
Hope Is A Heartache,LÉON,LÉON,3w1P8nwsVi9vxrGvxYLzAC,,,201401,0.468,0.429,0.495,0.00E+00,0.305,0.235,-6.634,0.0822,171.4,5,4,Sad
She,Human,dodie,45h4w81P5iJJTSeR0jJUQ8,,,213612,0.479,0.755,0.154,2.61E-02,0.11,0.232,-15.051,0.0369,92.457,2,4,Sad
Colourway,Bathing Beach,Novo Amor,2oa53bhiNPCz2CGh26AYxi,,,228164,0.261,0.96,0.371,8.56E-01,0.109,0.149,-10.112,0.0313,158.924,3,4,Sad
Hurts Like Hell,Love and War,Fleurie,2kMAKtrAu16HVWxBnOwuhd,,,232000,0.319,0.727,0.152,4.42E-05,0.107,0.091,-13.381,0.0372,138.929,9,3,Sad
Perfectly Imperfect,Perfectly Imperfect,Declan J Donovan,1gRxJURUiIEpsNGfhIKCrF,,,204086,0.501,0.66,0.377,0,0.117,0.177,-5.747,0.0404,104.979,2,4,Sad
Got It In You - Acoustic,Got It In You (Acoustic),BANNERS,4unF8ldGPeedLz8HRIvgxg,,,222267,0.58,0.725,0.354,0,0.118,0.214,-5.722,0.0419,72.049,7,4,Sad
Heather,Kid Krow,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,,,198040,0.357,0.584,0.425,0,0.322,0.27,-7.301,0.0333,102.078,5,3,Sad
Light,Atlas: I,Sleeping At Last,5uq3x8Pg8HAj8qNwPFOzfl,,,262533,0.224,0.532,0.387,0.00548,0.0689,0.0395,-9.022,0.0287,104.566,0,4,Sad
I Believe You,I Believe You,FLETCHER,4GUXTRTjQ4voLzwLw9qbPx,,,192993,0.46,0.219,0.498,3.29E-03,0.099,0.154,-6.312,0.0282,76.902,5,4,Sad
say it over (feat. Cautious Clay),say it over (feat. Cautious Clay),Ruel,4jSE5cAaa5rwTyhDSXfwQN,,,238500,0.438,0.566,0.315,0,0.606,0.151,-10.941,0.044,156.031,2,4,Sad
Feel Again (Feat. Au/Ra),Things I Wanted To Tell You,Kina,1fgC2MHbJnPgvDfdTpC62c,,,139355,0.487,0.24,0.384,0.00E+00,0.124,0.224,-10.594,0.0587,78.138,5,4,Sad
Welcome Back (feat. Alessia Cara),Welcome Back (feat. Alessia Cara),Ali Gatie,50I4Px0ip8mYOT2TwUZT8k,,,172593,0.577,0.136,0.517,0,0.166,0.194,-7.331,0.0689,171.863,0,4,Sad
we fell in love in october,we fell in love in october / forget her,girl in red,1BYZxKSf0aTxp8ZFoeyM3d,,,184154,0.566,0.113,0.366,0.181,0.155,0.237,-12.808,0.028,129.959,7,4,Sad
True Colours,True Colours,Tom Odell,1rGxG6Y5OgmSwGPRPJv9Q4,,,143707,0.518,0.942,0.126,0.00E+00,0.105,0.166,-12.102,0.0431,75.991,10,4,Sad
"Granted - From ""High School Musical: The Musical: The Series (Season 2)""","Granted [From ""High School Musical: The Musical: The Series (Season 2)""]",Olivia Rodrigo,71JGK9HPfjQNtKq5AhgbTg,,,154041,0.577,0.132,0.602,0.00E+00,0.295,0.23,-5.711,0.0306,84.978,9,4,Sad
Too Sad To Cry,Self Portrait,Sasha Alex Sloan,3CRtbOoAP82y0VbPO5j1ft,,,208987,0.515,0.842,0.27,0,0.114,0.234,-9.935,0.0357,120.483,10,4,Sad
stuck in my head,stuck in my head,BLÜ EYES,6RTxOMQEsqugkQFMzkRCqz,,,152396,0.52,7.77E-01,0.31,0.00E+00,0.143,0.26,-10.038,0.0468,84.007,1,3,Sad
Come Back for Me,Habits of My Heart,Jaymes Young,0cOrNgkbsWJYmxzf7T9nUd,,,268735,0.359,0.392,0.379,2.05E-03,0.331,0.145,-9.181,0.0327,113.925,7,3,Sad
Drown,Drown,Seafret,7aLtOxVOUahFU8fO25hWoH,,,236347,0.622,5.18E-01,0.45,0.00E+00,0.143,0.178,-6.304,0.0274,137.931,0,4,Sad
Out Of Love,The Pains Of Growing,Alessia Cara,4WzhjxvLP95y7AMDy0Atwb,,,227693,0.481,0.8,0.267,0.00E+00,0.249,0.137,-9.249,0.0339,117.64,7,3,Sad
Soldier,Love and War,Fleurie,1gzXHWAGYKbaHubERNp0Ox,,,225347,0.603,0.295,0.299,5.33E-03,0.294,0.0395,-10.816,0.0297,83.975,9,4,Sad
Falling Apart,Hold the Rhythm,Michael Schulte,0aIW3ekrhK1eh3BYCh11op,,,198573,0.543,8.24E-01,0.333,3.87E-06,0.168,0.261,-9.355,0.0272,109.789,7,4,Sad
Carry You,Bathing Beach,Novo Amor,0u4rkpmNtgcFxYHepnVF4v,,,273107,0.334,0.558,0.397,7.74E-02,0.126,0.035,-7.993,0.0284,93.445,7,4,Sad
Middle Of Nowhere,Middle Of Nowhere,Vancouver Sleep Clinic,7gUpHwmxXyJ4JVra6UHpKA,,,402655,0.474,0.502,0.425,0.00196,0.0873,0.183,-11.412,0.0327,123.747,8,4,Sad
Thin,ii,Aquilo,7swTZr50nSpeq9469IJ9LI,,,178477,0.604,5.11E-01,0.406,0.0051,0.121,0.203,-9.732,0.0569,97.021,0,4,Sad
Superhero,Superhero,Hayd,4NXROG27qc3PGsf6IK5MOD,,,241500,0.626,0.877,0.125,0,0.352,0.144,-18.968,0.0517,119.907,9,4,Sad
Die Trying,Die Trying,Michl,5JTAGruCIDyRLhKLwFkTnS,,,209537,0.424,7.92E-01,0.356,0.00E+00,0.148,0.0738,-8.374,0.0777,125.41,6,4,Sad
"Love Can Be So Lonely, Sometimes (feat. Gabrielle Aplin)","Love Can Be So Lonely, Sometimes (feat. Gabrielle Aplin)",Nick Wilson,6AynlgSKxWXPaTQUawcUrP,,,225256,0.341,0.945,0.196,1.26E-06,0.0993,0.142,-12.049,0.0442,132.287,0,4,Sad
hope ur ok,SOUR,Olivia Rodrigo,1zejeOnykpCoyVSit6Bwp3,,,209560,0.443,3.88E-01,0.298,1.00E-05,0.103,0.172,-12.181,0.0644,77.253,0,4,Sad
VICES,Blue Hour,Mothica,7DHEHWkrnrn2PvcR7lnD10,,,177792,0.492,0.355,0.577,0.00E+00,0.136,0.262,-6.653,0.234,138.827,0,5,Sad
Favourite Ex,Favourite Ex,Maisie Peters,1a1SQeSqUKzH5OUVTEx4ae,,,201694,0.396,0.718,0.177,0,0.139,0.221,-10.277,0.0378,177.215,5,3,Sad
Repeat Until Death,Birthplace,Novo Amor,5PzWVmfzu7rePAuFkxPQf0,,,234080,0.233,0.982,0.15,3.60E-01,0.154,0.0875,-11.736,0.0336,143.887,1,3,Sad
Sign of the Times,Harry Styles,Harry Styles,5Ohxk2dO5COHF1krpoPigN,,,340707,0.516,0.0275,0.595,0,0.109,0.222,-4.63,0.0313,119.972,5,4,Sad
Selfish,Life Support,Madison Beer,5UY8jf31X2hJkiAualFTyh,,,223270,0.375,0.627,0.461,0.00E+00,0.386,0.233,-6.202,0.0279,75.217,9,4,Sad
Pain,Pain,Nessa Barrett,1vwTCUJxmGlTuClU5YLfJA,,,219360,0.469,6.02E-01,0.11,0,0.102,0.103,-14.773,0.0423,119.745,0,4,Sad
Met Him Last Night (feat. Ariana Grande),Dancing With The Devil…The Art of Starting Over,Demi Lovato,0BI0hfbmqybnd3TezrDME3,,,204632,0.538,0.22,0.512,0.00E+00,0.101,0.12,-4.548,0.0262,144.978,4,4,Sad
You There,Aquilo,Aquilo,3oCd8HkxnzvAWHxaZi3jIB,,,253927,0.314,0.97,0.207,0.0046,0.0823,0.0524,-14.707,0.0314,76.529,0,3,Sad
Wildfire,Tell Me It's Real (Expanded Edition),Seafret,2Ro9FLIVhPwIQopSr48oJT,,,224800,0.587,2.52E-01,0.58,2.43E-03,0.105,0.193,-7.867,0.0329,131.953,6,4,Sad
"Wondering - From ""High School Musical: The Musical: The Series""","Wondering (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,6GfTYfb5eBLN1p1ByOsPmi,,,225382,0.469,0.808,0.444,0.00E+00,0.0932,0.221,-7.064,0.0396,129.385,6,4,Sad
Hindenburg Lover,Songs I Wrote in My Bedroom,Anson Seabra,32RwADYaEBNw9QeXP4Tz1g,,,302895,0.519,8.91E-01,0.241,0,0.323,0.208,-13.076,0.119,99.947,8,4,Sad
